Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type
10254,2001,09/13/2002,Old Lyme,11 FERRY RD,538000,1200000,0.448333333,,
11920,2001,09/24/2002,Norwalk,26 KNAPP ST,101920,260000,0.392,,
10885,2001,09-06-2002,Norwich,154 N MAIN ST,140400,200000,0.702,,
220753,2022,07/19/2023,Norwich,26 WARD ST,86100,180000,0.4783,Residential,Single Family
11931,2001,09/24/2002,Norwalk,27 BROAD ST,332710,519043,0.641006622,,
200175,2020,10/29/2020,Milford,16 SEABREEZE AVE,180950,325000,0.5567,Residential,Condo
220300,2022,02/17/2023,Greenwich,2 MORTIMER DRIVE,927990,1850000,0.5016,Residential,Single Family
200275,2020,11/16/2020,Milford,0 EDGEWATER PL,119000,300000,0.3966,Vacant Land,
210473,2021,08/25/2022,New London,85 WEST ST,75110,205000,0.3663,Residential,Single Family
10015,2001,11-09-2001,Sharon,82 UPPER MAIN ST,53700,50000,1.074,,
20014,2020,10-06-2020,Monroe,22 MEADOWVIEW TER,189100,305000,0.62,Residential,Single Family
10269,2001,07/15/2002,Tolland,63 BALD HL RD,89950,149900,0.600066711,,
10920,2001,09-06-2002,Torrington,VIEW ST,14300,22500,0.635555556,,
10482,2001,01-10-2002,Stratford,129 BAYBERRY LN,140390,0,0,,
21136,2021,11/30/2021,Newtown,7 POSSUM RIDGE ROAD,243280,482500,0.5042,Residential,Single Family
2000296,2020,02-12-2021,Naugatuck,464 MULBERRY ST,114660,195000,0.588,Residential,Single Family
10166,2001,01/23/2002,Ridgefield,120 PROSPECT ST UT 44,170760,380000,0.449368421,,
2000327,2020,03-03-2021,Naugatuck,31 PILGRIM LN,157810,276500,0.5707,Residential,Single Family
2000473,2020,05/18/2021,Naugatuck,33 FAIRCHILD ST,98900,184500,0.536,Residential,Single Family
10014,2001,10-09-2001,New London,6 CLIFF ST,43890,70000,0.627,,
2000022,2020,10/13/2020,Naugatuck,41 ANDERSON ST,108070,193500,0.5585,Residential,Three Family
220049,2022,05/22/2023,Sharon,19 W MAIN ST,192800,475000,0.4058,Commercial,
213294,2021,11/30/2021,North Haven,27 DODGE AVE,943640,1600000,0.5897,Commercial,
20513,2020,03-11-2021,New Britain,32 HIGHLAND TERR,97580,163300,0.5975,Residential,Single Family
20761,2020,05/28/2021,New Britain,150 GOLD ST,212310,450000,0.4718,Apartments,
10466,2001,01-07-2002,Stratford,1086 ESSEX PL,150640,0,0,,
201057,2020,08-12-2021,New Britain,5 ARCH ST,264390,400000,0.6609,Commercial,
201133,2020,09-02-2021,New Britain,103 LEWIS RD,123480,235000,0.5254,Residential,Single Family
11137,2001,07/29/2002,Milford,31 PEARL ST,78960,200000,0.3948,,
20086,2020,10/22/2020,New Britain,23 PARKMORE ST,122220,223000,0.548,Residential,Single Family
10035,2001,11/14/2001,Orange,832 DONNA DR,156800,275000,0.570181818,,
200338,2020,04/23/2021,New Canaan,116 ROCKY BROOK RD,620760,850000,0.7303,Residential,Single Family
200661,2020,08/30/2021,New Canaan,322 MAIN ST,1279460,2400000,0.5331,Residential,Single Family
200155,2020,01/29/2021,New Fairfield,6 BARNBROOK RD,126100,199900,0.6308,Vacant Land,
10024,2001,10-03-2001,New Britain,4 MADISON ST,52470,90000,0.583,,
200264,2020,06-10-2021,New Fairfield,10 BROOK DR,107500,240000,0.4479,Residential,Single Family
200145,2020,08-09-2021,New Hartford,82 NILES ROAD,238980,460000,0.5195,Residential,Single Family
200419,2020,02-04-2021,New Haven,769 DIXWELL AV,74200,190000,0.3905,Residential,Two Family
210618,2021,05/23/2022,Norwich,114 SHERATON LN,37400,100000,0.374,Residential,Condo
10164,2001,07/17/2002,Somers,21 LOUBIER DR,201260,380000,0.529631579,,
210923,2021,08/24/2022,Norwich,5 ROBBINS CT,106400,175000,0.608,Residential,Two Family
200953,2020,05/28/2021,New Haven,44 FRONT ST,64470,105000,0.614,Residential,Condo
201207,2020,07/21/2021,New Haven,40 TEMPLE CT # 40,368130,850000,0.433,Residential,Condo
201440,2020,09/15/2021,New Haven,889 CONGRESS AV,80150,214000,0.3745,Residential,Two Family
200176,2020,11/17/2020,New Haven,36 HARDING PL,35840,35000,1.024,Vacant Land,
200192,2020,11/20/2020,New Haven,459 BLATCHLEY AV,71150,170000,0.4185,Residential,Two Family
201176,2020,03-09-2021,New London,400 BANK ST UNIT 201,165550,191000,0.8667,Residential,Condo
220779,2022,06/23/2023,Milford,23 PEARL ST,254300,650000,0.3912,Residential,Single Family
220981,2022,09/29/2023,New Haven,748 QUINNIPIAC AV #11,123130,250000,0.4925,Residential,Condo
20274,2020,01-08-2021,Newtown,16 SILVER BROOK LANE,419590,779000,0.5386,Residential,Single Family
21134,2021,01/31/2022,Plainfield,25 ROODE RD,266650,950000,0.2806,Industrial,
21220,2021,05-03-2022,Plainfield,131 SQUAW ROCK RD,145570,355000,0.41,Residential,Single Family
11187,2001,06-04-2002,Norwalk,12 NELSON AVE,167860,270000,0.621703704,,
10144,2001,02/19/2002,Monroe,11 LAUREL DR,183470,357000,0.513921569,,
220103,2022,03/30/2023,Suffield,19 STRATTON FARMS RD,79310,115000,0.6896,Vacant Land,
20742,2020,08/30/2021,Newtown,157 HANOVER ROAD,325640,508000,0.641,Residential,Single Family
20771,2020,09/16/2021,Newtown,3 SHORT HILL ROAD,451770,910000,0.496450549,Residential,Single Family
21176,2021,03-09-2022,Plainville,180 S WASHINGTON ST,63840,360000,0.1773,Vacant Land,
210047,2021,02-03-2022,Preston,153A ROUTE 12,151200,290000,0.5213,Residential,Single Family
202281,2020,09-07-2021,North Haven,108 MULHOLLAND WAY,276010,443165,0.6228,Residential,Condo
220345,2022,02/21/2023,Torrington,114 WORKMAN AVE,72730,150000,0.4848,Commercial,
10124,2001,10/23/2001,Stratford,1093 BARNUM AVE,200980,0,0,,
201007,2020,03/22/2021,Norwalk,29 GREGORY BLVD,261800,450000,0.5817,Residential,Single Family
21291,2021,05-05-2022,Ridgefield,5 STANDISH DR,445440,900000,0.4949,Residential,Single Family
10336,2001,12/17/2001,Norwalk,16 ROCKMEADOW RD Q,81340,155000,0.524774194,,
202611,2020,07-06-2021,Norwalk,126 WASHINGTON ST UNIT R203,144380,217500,0.6638,Residential,Condo
10020,2001,10-02-2001,West Haven,84 WEST WALK,64050,130000,0.492692308,,
202876,2020,08/18/2021,Norwalk,17 HADIK PKWY,256270,355000,0.7218,Residential,Single Family
11223,2001,07/19/2002,Stratford,70 AUO ST,96730,0,0,,
10052,2001,07-02-2002,Morris,45 TROTTA LN,540,200000,0.0027,,
200289,2020,11/23/2020,Norwalk,188 FLAX HILL RD UNIT B/6,173040,330000,0.5243,Residential,Condo
220324,2022,04/26/2023,Wallingford,28 GEORGE ST,152500,390000,0.391,Residential,Three Family
220209,2022,12/22/2022,New Haven,545 ELLSWORTH AV,266070,390000,0.6822,Residential,Single Family
200364,2020,01/20/2021,Norwich,44 NORWICH AVE #22,1100,1983200,0.0005,Vacant Land,
