Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type
220247,2022,05-12-2023,New London,707 OCEAN AVE,109830,285000,0.3853,Residential,Single Family
22336,2022,09/26/2023,Montville,267 MAPLE AVE,124180,289000,0.4296,Residential,Single Family
2200195,2022,03/13/2023,East Haven,213 THOMPSON ST #A,80570,201500,0.3998,Residential,Condo
220022,2022,11-02-2022,East Windsor,MAHONEY RD,43640,64000,0.6818,Vacant Land,
220068,2022,02/22/2023,Brooklyn,220 WINDHAM RD,136100,296000,0.4597,Residential,Single Family
220107,2022,12-01-2022,Newington,89 WEBSTER CT,85560,152500,0.561,Residential,Condo
22301,2022,09-12-2023,Darien,23 GOODWIVES RIVER ROAD,899780,410000,2.1945,Residential,Single Family
2222063,2022,12/20/2022,Ansonia,32 SPRING ST,149310,200000,0.7465,Residential,Single Family
220203,2022,09/18/2023,Ellington,14 PRIVATE GROUNDS1,173520,376000,0.4615,Residential,Single Family
22250,2022,07/27/2023,Darien,1 WARING LANE,523740,1150000,0.4554,Residential,Single Family
220919,2022,09-07-2023,New Haven,75 PERKINS ST,145530,300000,0.4851,Residential,Two Family
220086,2022,11-03-2022,Hartford,"895, 907 AND 1/4 INT 919 ALBAN",422060,744000,0.5673,Commercial,
220074,2022,07/13/2023,East Granby,877 SOUTH GRAND STREET,151300,335000,0.4516,Residential,Single Family
222184,2022,07/19/2023,Bridgeport,447 & 435 SHELTON ST #437,177910,350000,0.5083,Commercial,
220224,2022,06/22/2023,Ledyard,5 MELANIE LN,174370,300000,0.5812,Residential,Single Family
220115,2022,01/18/2023,New London,137 ASHCRAFT RD,32900,20000,1.645,Vacant Land,
220159,2022,07-11-2023,Ellington,31 WINDSOR WALK,153820,355000,0.4332,Residential,Condo
22033,2022,11/16/2022,Derby,278 ORANGEWOOD EAST,124180,260000,0.4776,Residential,Condo
22010,2022,10/25/2022,Lebanon,508 MACK RD,174080,350000,0.4973,Residential,Single Family
220602,2022,07-10-2023,Branford,85 WINDMILL HILL RD,214600,522000,0.4111,Residential,Single Family
2200141,2022,07-06-2023,New Fairfield,12 EASTVIEW DR,199300,490000,0.4067,Residential,Single Family
220237,2022,06/30/2023,Avon,41 WESTLAND ROAD,143750,165000,0.8712,Vacant Land,
22076,2022,09/29/2023,Marlborough,1 MOHAWK TR,149590,300000,0.4986,Residential,Condo
2200462,2022,06/26/2023,East Hartford,9 TERRY RD,151030,88800,1.7007,Residential,Single Family
22089,2022,07/28/2023,Lebanon,93 CLARKE RD,118160,300000,0.3938,Residential,Single Family
220120,2022,07/28/2023,Essex,85 RIVER RD UNIT C8,127500,341900,0.3729,Residential,Condo
2200130,2022,03-07-2023,Bloomfield,36-38 BROOKLINE AVE,167370,177500,0.9429,Residential,Three Family
220370,2022,09/13/2023,New London,342 MONTAUK AVE,216510,300000,0.7217,Commercial,
22148,2022,05/25/2023,Monroe,25 PRESTIGE PLACE,93700,579900,0.1615,Residential,Condo
220230,2022,05-01-2023,New London,281 GARDNER AVE #K5,43260,125000,0.346,Residential,Condo
22000191,2022,04-03-2023,Cheshire,215 BATES RD,198830,465000,0.4275,Residential,Single Family
22081,2022,05/25/2023,Beacon Falls,94 FIELDSTONE LANE,0,542055,0,Residential,Condo
22105,2022,07-11-2023,Haddam,223 CHAMBERLAIN HILL RD,198530,679000,0.2923,Residential,Single Family
22009,2022,10/13/2022,Columbia,143 OLD WILLIMANTIC ROAD,141330,320000,0.4416,Residential,Single Family
220146,2022,09/26/2023,Essex,19 HERON POND RD,404500,1140000,0.3548,Residential,Single Family
22251,2022,09-12-2023,Monroe,25 SENIOR DR #25,73900,199999,0.3695,Residential,Condo
220415,2022,03/15/2023,Meriden,292 COOK AVE,107170,50625,2.1169,Commercial,
220046,2022,10/20/2022,Branford,38 SUMMER ISLAND RD,630100,450000,1.4002,Residential,Single Family
2200627,2022,09/27/2023,East Hartford,148 GREENWOOD ST,139960,260000,0.5383,Residential,Single Family
220196,2022,05/22/2023,New Canaan,1578 PONUS RIDGE,2100000,3700000,0.5675,Residential,Single Family
221856,2022,06-07-2023,Manchester,22 SAINT JAMES STREET UNIT N,55100,111000,0.4963,Residential,Condo
220706,2022,07-10-2023,Meriden,50 SPRING ST,105910,220000,0.4814,Residential,Single Family
2200268,2022,05/16/2023,East Haven,113 LEIGH DR,205450,415000,0.495,Residential,Single Family
220058,2022,11/30/2022,Colchester,31 COMSTOCK BRIDGE RD,142500,254148,0.5606,Residential,Single Family
220050,2022,12-08-2022,Coventry,323 CARPENTER RD,137000,240000,0.5708,Residential,Single Family
220428,2022,03-07-2023,Hartford,119 WESTBROOK ST,65195,228000,0.2859,Residential,Single Family
220241,2022,11/14/2022,Bridgeport,317 GRANFIELD AVE BLDG #12 APT,866170,22000,39.3714,Commercial,
210538,2021,12-10-2021,Waterbury,43 CENTRAL AVE,213040,500000,0.426,Apartments,
200149,2020,07-12-2021,Thomaston,97 TWIN POND RD,204000,337500,0.6044,Residential,Single Family
22299,2022,09-11-2023,Darien,487 HOYT ST,672490,1500000,0.4483,Residential,Single Family
220387,2022,02/14/2023,Hartford,46 MARGARITA DR,56118,210000,0.2672,Residential,Single Family
220163,2022,02/27/2023,New London,34 SCHOOL ST,111090,220000,0.5049,Residential,Single Family
22053,2022,05/17/2023,Deep River,151 MEADOW WOODS RD,12670,18100,0.7,Vacant Land,
220154,2022,12-02-2022,Greenwich,119 NORTH WATER STREET,375900,560000,0.6712,Residential,Two Family
220750,2022,07/14/2023,New Haven,1476 CHAPEL ST,1140090,2440000,0.4672,Apartments,
22058,2022,03-03-2023,Burlington,10 JOHNNYCAKE MTN RD,199360,100000,1.9936,Residential,Single Family
220796,2022,07/31/2023,New Haven,484 WHITNEY AV #A5,214130,425000,0.5038,Residential,Condo
220330,2022,12-01-2022,Bridgeport,91 SUMMIT ST,122926,305000,0.403,Residential,Single Family
220052,2022,10/25/2022,Branford,51 MILL PLAIN RD,197700,382000,0.5175,Residential,Single Family
2200350,2022,07/19/2023,East Haven,140 THOMPSON ST #16B,114100,275000,0.4149,Residential,Condo
220135,2022,07/25/2023,Brooklyn,372 CHURCH ST,211900,476000,0.4451,Residential,Single Family
220604,2022,02-01-2023,Bridgeport,1054 RESERVOIR DR,120524,150000,0.8034,Residential,Single Family
220057,2022,10/24/2022,Meriden,33 UNION ST,106120,243000,0.4367,Residential,Single Family
2222137,2022,04/24/2023,Ansonia,28 SPRING ST,180950,285000,0.6349,Residential,Single Family
220178,2022,05-02-2023,Killingly,135 HALLS HILL RD,66360,60000,1.106,Residential,Single Family
220295,2022,08/16/2023,East Lyme,28 PUMPKIN GROVE,545440,1420108,0.384,Residential,Single Family
220145,2022,03/31/2023,New Canaan,87 LAMBERT RD,1103970,1500000,0.7359,Residential,Single Family
220339,2022,08/17/2023,New London,330 CRYSTAL AVE #17,104930,280000,0.3748,Residential,Condo
22067,2022,06-06-2023,Lebanon,135 E HEBRON TPKE,127660,275000,0.4642,Residential,Single Family
22000184,2022,03/30/2023,Cheshire,5 WILDLIFE CT,253680,475000,0.534,Residential,Condo
2200199,2022,10/18/2022,Naugatuck,7 MARY DRIVE,178080,275000,0.6475,Residential,Single Family
220637,2022,06/15/2023,New Haven,255 BASSETT ST,134540,225000,0.5979,Residential,Single Family
220528,2022,04/27/2023,Hamden,25 HAMDEN HILLS DR U1,160790,305000,0.5271,Residential,Condo
220652,2022,06/23/2023,Greenwich,160 JOHN STREET,8527900,11500000,0.7416,Residential,Single Family
221457,2022,11/14/2022,Manchester,20 PROSPECT STREET UNIT 70,70600,107000,0.6598,Residential,Condo
22288,2022,08/31/2023,Darien,41 WAKEMORE STREET,393360,670000,0.5871,Residential,Single Family
220514,2022,09/14/2023,Groton,120 WEST ST,605290,41000,14.7631,Commercial,
220017,2022,11-10-2022,Essex,12 RACKETTS LA,670700,1750000,0.3832,Residential,Single Family
220243,2022,12/23/2022,Hartford,190 EDGEWOOD ST,10430,20000,0.5215,Commercial,
220324,2022,05/16/2023,Groton,1 WATER ST,346850,1346500,0.2575,Commercial,
222015,2022,08/21/2023,Manchester,49 WESTWOOD STREET,121200,260000,0.4661,Residential,Single Family
220606,2022,06-05-2023,New Haven,31 EDGEHILL RD,771820,1525000,0.5061,Residential,Single Family
22024,2022,06/15/2023,Franklin,85 EAGER RD,153640,405000,0.3794,Residential,Single Family
220836,2022,08-10-2023,Greenwich,PROSPECT DRIVE 0026,542500,1860000,0.2916,Residential,Single Family
220990,2022,04/18/2023,Fairfield,47 EDGE HILL ROAD,304990,591750,0.5154,Residential,Single Family
220258,2022,01/13/2023,New Haven,28 BOND ST,184940,166666,1.1096,Residential,Two Family
2200034,2022,10/31/2022,East Haven,2 OLD TOWN HWY #G48,7560,45000,0.168,Residential,Condo
2222048,2022,11/21/2022,Ansonia,10 GROVE ST,209650,300000,0.6988,Residential,Single Family
22000067,2022,11/21/2022,Cheshire,55 LEWIS RD,153420,285000,0.5383,Residential,Single Family
220016,2022,10-06-2022,Branford,30 WOOD RD,974500,2000000,0.4872,Residential,Single Family
220430,2022,12/21/2022,Bridgeport,41C PATRICIA RD,101540,256000,0.3966,Residential,Condo
220244,2022,08/28/2023,East Hampton,85 NORTH MAIN ST UNIT 11B,80190,172000,0.4662,Residential,Condo
222224,2022,07/28/2023,Bridgeport,180 WHITTIER ST,147900,310000,0.477,Residential,Single Family
220058,2022,01/31/2023,Brooklyn,79 DARBY RD,111100,230000,0.483,Residential,Single Family
222083,2022,09/13/2023,Manchester,368 OAK STREET,202700,394777,0.5135,Residential,Single Family
220645,2022,06-05-2023,Hamden,889 CHOATE AVE,172340,494000,0.3488,Residential,Single Family
220288,2022,08-08-2023,Killingly,139 STATE AV,102830,240000,0.4285,Residential,Single Family
220169,2022,12-08-2022,Greenwich,2 GROVE LANE,1081850,2750000,0.3934,Residential,Single Family
220113,2022,04-05-2023,East Windsor,9 MILL ST,99180,196000,0.506,Residential,Single Family
22207,2022,06-12-2023,Middlebury,261 SANDY HILL RD,362800,699900,0.5183,Residential,Single Family
220164,2022,04/17/2023,New Canaan,66 HERITAGE HILL RD-#66D,219170,412000,0.5319,Residential,Condo
2200107,2022,05/18/2023,New Fairfield,2 OVERLOOK RD,211200,449000,0.4703,Residential,Single Family
220458,2022,08-04-2023,Groton,226 PUMPKIN HILL RD,147140,315000,0.4671,Residential,Single Family
220815,2022,08-03-2023,Meriden,2645 MERIDEN SQ TNHS,51100,2050000,0.0249,Residential,Condo
220121,2022,05-02-2023,Coventry,230 HANNAH LN,330400,685000,0.4823,Residential,Single Family
220367,2022,12/21/2022,Branford,14 RED ROCK RD,171000,315000,0.5428,Residential,Single Family
220259,2022,07/17/2023,Griswold,1678R GLASGO RD,50260,380150,0.1322,Vacant Land,
22047,2022,06/22/2023,Marlborough,80 NO PARKER RD,79740,150000,0.5316,Vacant Land,
221869,2022,06-12-2023,Manchester,536 MIDDLE TURNPIKE WEST,104800,161300,0.6497,Residential,Single Family
220243,2022,01/17/2023,Greenwich,49 INDIAN HARBOR DRIVE #5,552020,865000,0.6381,Residential,Condo
221405,2022,09-08-2023,Fairfield,641 PENFIELD ROAD,1830640,3550000,0.5156,Residential,Single Family
2200134,2022,12/21/2022,East Hartford,11 HARTZ LN,191340,265000,0.722,Residential,Single Family
220117,2022,12-08-2022,Groton,60 WILLIAMS ST,282030,500000,0.564,Residential,Single Family
220024,2022,10-07-2022,Hamden,896 PROSPECT ST,590380,700000,0.8434,Residential,Single Family
220423,2022,07/17/2023,Groton,88 PUMPKIN HILL RD,163380,386000,0.4232,Residential,Single Family
220041,2022,11-04-2022,Colchester,57 OAK FARM DR,253600,470000,0.5395,Residential,Single Family
220068,2022,01/24/2023,Griswold,163 GEER RD,111930,155000,0.7221,Residential,Single Family
220017,2022,10/18/2022,Coventry,1140 SOUTH ST,310900,855000,0.3636,Residential,Single Family
220934,2022,09/22/2023,Meriden,1102 EAST MAIN ST,539630,330000,1.6352,Commercial,
200046,2020,12/14/2020,Thomaston,3 BRADLEY WAY,133210,289900,0.4595,Residential,Condo
20102,2002,12-03-2002,Avon,25 SKY TOP DR,142420,300000,0.474733333,,
22036,2022,05-02-2023,Chester,19 PARKERS POINT RD,876320,1433000,0.6115,Residential,Single Family
2200622,2022,09/25/2023,East Hartford,58 CHEYENNE RD,31920,76000,0.42,Residential,Single Family
2222152,2022,05/22/2023,Ansonia,345 BEAVER ST,210840,350000,0.6024,Residential,Single Family
220210,2022,12/14/2022,Hartford,90 COLEBROOK ST,119145,350000,0.3404,Residential,Two Family
220275,2022,01/17/2023,Meriden,32 STERLING VLG,77490,158000,0.4904,Residential,Condo
220265,2022,07/19/2023,Avon,239 OLD FARMS ROAD #15B,58590,120000,0.4882,Residential,Condo
220750,2022,06/29/2023,Hartford,468-470 WETHERSFIELD AVE,237160,210000,1.1293,Apartments,
220093,2022,05/18/2023,Mansfield,48 CIRCLE DR,107300,276000,0.3887,Residential,Single Family
220425,2022,03/17/2023,Hamden,365 MATHER ST U139,73290,170000,0.4311,Residential,Condo
220329,2022,09/13/2023,Madison,236 BOSTON POST RD,333900,595000,0.5611,Residential,Single Family
220139,2022,06-01-2023,Clinton,120 AIRLINE RD,173560,350000,0.4958,Residential,Single Family
220597,2022,08/18/2023,Enfield,149 MEADOWS,138600,273500,0.5067,Residential,Condo
220513,2022,05-11-2023,Greenwich,31 LOCKWOOD ROAD,1610560,2810000,0.5731,Residential,Single Family
220155,2022,04/18/2023,Ledyard,1538-C27 ROUTE 12,45150,120000,0.3762,Residential,Condo
22171,2022,05/25/2023,Darien,28 EAST LANE,550410,1500000,0.3669,Residential,Single Family
2200144,2022,03/24/2023,Bloomfield,21 SUTTON PL UNIT 21,51380,127000,0.4045,Residential,Condo
220712,2022,07-06-2023,New Haven,60 EMILY RD,106750,230000,0.4641,Residential,Single Family
220077,2022,06-06-2023,Easton,13 UNICORN LANE,339710,750000,0.4529,Residential,Single Family
220942,2022,09/14/2023,New Haven,414 FERRY ST,96600,125000,0.7728,Residential,Single Family
220031,2022,03-09-2023,Bethany,24 GLENWOOD CT,207190,480000,0.4316,Residential,Single Family
220254,2022,01-03-2023,Hamden,298 THORNTON ST,183330,255000,0.7189,Residential,Single Family
220367,2022,02/20/2023,Milford,150 FOREST RD #10,112960,240000,0.4706,Residential,Condo
220042,2022,12/28/2022,New Hartford,170 SOUTHEAST ROAD,229180,525000,0.4365,Residential,Single Family
220783,2022,03-09-2023,Bridgeport,840 HOWARD AVE #842,1120000,1350000,0.8296,Apartments,
220121,2022,02/27/2023,Ledyard,9 THAMES VIEW PTWY,52780,52500,1.0053,Vacant Land,
220067,2022,12/19/2022,Bloomfield,21 EMERSON ST,94570,155000,0.6101,Residential,Single Family
220083,2022,12/22/2022,New Canaan,122 WEED ST,1976590,3995000,0.4947,Residential,Single Family
22045,2022,01-09-2023,Burlington,176 MONCE RD,138460,365000,0.3793,Residential,Single Family
2200036,2022,10/28/2022,New Milford,93 BEL AIR,41090,106250,0.3867,Residential,Condo
22059,2022,11/21/2022,Montville,19 MOXLEY RD,231910,379900,0.6104,Residential,Single Family
2200042,2022,12/21/2022,New Fairfield,344 RTE 39,55600,25000,2.224,Residential,Single Family
221652,2022,02/16/2023,Manchester,15 AUBURN ROAD,131700,220000,0.5986,Residential,Single Family
220187,2022,12/19/2022,Greenwich,2 HOMESTEAD LANE #208,203350,460000,0.442,Residential,Condo
220214,2022,01-03-2023,Greenwich,10 LANTERN LANE,563220,1050000,0.5364,Residential,Single Family
2200159,2022,02/13/2023,East Haven,162 BORRMANN RD,118510,200000,0.5925,Residential,Single Family
210637,2021,12/23/2021,Waterbury,111 BANK ST,105490,190000,0.5552,Commercial,
21108,2002,08/27/2003,Hamden,42 GILBERT AVE,0,179900,0,,
22005,2022,10/27/2022,Norfolk,NORTH STREET,64570,76250,0.8468,Vacant Land,
220401,2022,03/30/2023,Greenwich,603 STEAMBOAT ROAD #6,1149330,1725000,0.6662,Residential,Condo
220845,2022,08/15/2023,Greenwich,VALLEY ROAD 0062,674800,1048950,0.6433,Residential,Two Family
220205,2022,05/22/2023,Madison,37 OVERBROOK RD,227700,512000,0.4447,Residential,Single Family
220121,2022,04-03-2023,East Hampton,36 SUMMIT ST,129990,246000,0.5284,Residential,Single Family
220027,2022,11-07-2022,East Hampton,2 WEST DR,201090,375000,0.5362,Residential,Single Family
22070,2022,07/19/2023,Columbia,5 STONEWALL LANE,337680,573000,0.5893,Residential,Single Family
220020,2022,01/31/2023,Bethlehem,83 LAKEVIEW DR,81000,77904,1.0397,Residential,Single Family
220100,2022,01-04-2023,Avon,2 ACORN GLEN,197160,350000,0.5633,Residential,Condo
2200402,2022,05/25/2023,East Hartford,181 GREAT HILL RD,171710,315000,0.5451,Residential,Single Family
220161,2022,10/28/2022,Bridgeport,APT LEASEHOLD #23 145 ALSACE S,7941540,90000,88.2393,Commercial,
223411,2022,07/13/2023,Newington,10 WAVERLY DR,395750,640000,0.6183,Residential,Single Family
2200203,2022,02/28/2023,New Milford,110 CHESTNUT LAND RD + CHESTNU,388760,751205,0.5175,Residential,Single Family
220326,2022,08/30/2023,Avon,65 LAWRENCE AVENUE,204710,441000,0.4641,Residential,Single Family
220827,2022,03-02-2023,Bridgeport,180 SUMMIT ST,148756,399000,0.3728,Residential,Single Family
220097,2022,02/27/2023,East Windsor,11B THISTLE WAY,99670,243000,0.4101,Residential,Condo
220900,2022,08/31/2023,New Haven,5 HAZEL ST,127960,150000,0.853,Commercial,
220072,2022,05/16/2023,New Hartford,300 STEELE ROAD,67480,85000,0.7938,Vacant Land,
220380,2022,12-07-2022,Bridgeport,113 RANCH DR,186290,346000,0.5384,Residential,Single Family
220597,2022,07-05-2023,Branford,627 LONGFELLOW DR,110200,247000,0.4461,Residential,Condo
221032,2022,05-04-2023,Bridgeport,666 CAPITOL AVE #670,137793,523000,0.2634,Residential,Three Family
220137,2022,11/29/2022,New Haven,808 WASHINGTON AV,1103620,1300000,0.8489,Industrial,
220149,2022,11/30/2022,Meriden,129 ATKINS ST,103390,140000,0.7385,Residential,Single Family
220556,2022,08-01-2023,Enfield,14 QUAKER LA,172800,320000,0.54,Residential,Single Family
223262,2022,04/24/2023,Newington,178 FOREST DR,187040,350000,0.5344,Residential,Single Family
2200444,2022,09/18/2023,East Haven,140 THOMPSON ST #7G,98280,150000,0.6552,Residential,Condo
220217,2022,03-10-2023,Newington,71 CYPRESS RD,96940,180000,0.5386,Residential,Condo
220546,2022,05/17/2023,New Haven,243 WILLOW ST,410970,640000,0.6421,Residential,Four Family
220122,2022,05-03-2023,Coventry,BREWSTER ST,36100,6000,6.0166,Vacant Land,
220059,2022,12/16/2022,Clinton,33 FOUNDERS RD,70600,163000,0.4331,Residential,Condo
220304,2022,01-12-2023,Hartford,17 NEPAUG ST,48216,175000,0.2755,Residential,Single Family
220515,2022,01-09-2023,Bridgeport,45 STEVENS ST UNIT #3C,34990,80250,0.436,Residential,Condo
222122,2022,09/25/2023,Manchester,211 WOODBRIDGE STREET,131400,226800,0.5793,Residential,Single Family
22058,2022,12/27/2022,Derby,448 NEW HAVEN AVE,140980,350000,0.4028,Residential,Single Family
220136,2022,12-09-2022,Enfield,84 CARRIAGE HOUSE,121600,205000,0.5931,Residential,Condo
220288,2022,01/24/2023,Meriden,77 ALLEN AVE,122500,155000,0.7903,Residential,Single Family
20805,2002,04-10-2003,Hartford,25-27 PLINY ST,52430,0,0,,
221356,2022,10-07-2022,Manchester,182 EAST ELDRIDGE STREET,218500,365000,0.5986,Residential,Single Family
22103,2022,03-01-2023,Darien,9 LAKE DRIVE,558740,1100000,0.5079,Residential,Single Family
22000278,2022,06/20/2023,Cheshire,75 WILLIAMSBURG DR,230530,470000,0.4904,Residential,Single Family
220046,2022,11-04-2022,Brookfield,33 ROLLINGWOOD DR,101570,186000,0.546,Residential,Condo
220349,2022,12-12-2022,Branford,3 GROVE CT,43400,125000,0.3472,Residential,Condo
22152,2022,03-03-2023,Montville,637 OLD COLCHESTER RD,177170,196342,0.9023,Residential,Single Family
221050,2022,05-08-2023,Bridgeport,270 BUNNELL ST,62562,98649,0.6341,Residential,Single Family
220093,2022,10/17/2022,Bridgeport,99 EDNA AVE #101,193680,460000,0.421,Residential,Two Family
220335,2022,02-07-2023,Hamden,110 WEBB ST,385000,935000,0.4117,Commercial,
220113,2022,05-08-2023,Griswold,27 OLD NORWICH RD,150360,340000,0.4422,Residential,Single Family
220335,2022,09-06-2023,Litchfield,0 GOODHOUSE RD,48400,62500,0.7744,Vacant Land,
220216,2022,05/30/2023,East Lyme,261 WHISTLETOWN RD,238770,378000,0.6316,Residential,Single Family
220322,2022,07/31/2023,New London,200 MONTAUK AVE,186480,595000,0.3134,Apartments,
220495,2022,09-01-2023,Groton,313 RING DR,189980,350000,0.5428,Residential,Single Family
22052,2022,03/30/2023,Beacon Falls,71 FAIRFIELD PLACE,0,395000,0,Vacant Land,
22262,2022,07-05-2023,North Haven,42 MANOR DR,190420,365000,0.5216,Residential,Condo
2200180,2022,02-09-2023,New Milford,95 ASPETUCK VILLAGE,118440,260000,0.4555,Residential,Condo
220278,2022,08-09-2023,Ledyard,11 MEADOW DR,161000,320000,0.5031,Residential,Single Family
2222115,2022,03/20/2023,Ansonia,47 GROVE ST,181790,257500,0.7059,Residential,Three Family
220062,2022,04/13/2023,Easton,69 STAPLES ROAD,395430,715000,0.553,Residential,Single Family
220118,2022,04/17/2023,Clinton,44 OLDE ORCHARD RD,207400,467000,0.4441,Residential,Single Family
22000163,2022,03-01-2023,Cheshire,1199 S MAIN ST,140320,390000,0.3597,Residential,Single Family
220895,2022,08/30/2023,Greenwich,BYFIELD LANE 0043,1121470,1650000,0.6796,Residential,Single Family
221528,2022,12/13/2022,Manchester,12 THOMPSON ROAD UNIT 9A,42700,79900,0.5344,Residential,Condo
220102,2022,10/18/2022,Bridgeport,280 MARION ST,172830,370000,0.4671,Residential,Two Family
220038,2022,10/19/2022,East Hartford,361 FORBES ST,121410,219000,0.5543,Residential,Single Family
220103,2022,02/27/2023,East Hampton,9 BERSHIRE DR,156900,330000,0.4754,Residential,Single Family
220186,2022,12/16/2022,Greenwich,12 SOUND BEACH AVENUE EXTENSIO,614670,935000,0.6574,Residential,Two Family
222395,2022,09-08-2023,Bridgeport,205 BRETTON ST UNIT #D02 D03 D,235040,681818,0.3447,Residential,Condo
220035,2022,11/22/2022,Brooklyn,725 HARTFORD RD,115200,147000,0.7836,Residential,Single Family
223280,2022,05-03-2023,Newington,56 LYDALL RD,142760,315000,0.4532,Residential,Single Family
221292,2022,08-02-2023,Fairfield,812 BLACK ROCK TURNPIKE,317520,500000,0.635,Residential,Two Family
220529,2022,07/20/2023,Enfield,20 ASNUNTUCK ST,112000,200000,0.56,Residential,Two Family
220078,2022,02-07-2023,Coventry,17 BRADBURY LN,398900,205000,1.9458,Residential,Two Family
220247,2022,12-01-2022,Hamden,51 PUTNAM AVE,152530,312000,0.4888,Residential,Single Family
22244,2022,06/16/2023,Montville,99 FORT SHANTOK RD,187040,300000,0.6234,Residential,Two Family
220699,2022,05/31/2023,Milford,35 CAPTAINS WALK,473350,1175000,0.4028,Residential,Single Family
220501,2022,04/17/2023,Branford,236 AUSTIN RYER LA,110000,188000,0.5851,Residential,Condo
220105,2022,01/17/2023,Avon,38 CRAIGEMORE CIRCLE,201700,428000,0.4712,Residential,Single Family
220313,2022,09/15/2023,East Windsor,27 CLARK RD,132080,325000,0.4064,Residential,Single Family
22269,2022,08/14/2023,Darien,69 RELIHAN ROAD,1510250,2625000,0.5753,Residential,Single Family
220660,2022,06/16/2023,Meriden,116 CROWN ST,99680,177000,0.5631,Residential,Single Family
22000028,2022,10/20/2022,Cheshire,880 S MERIDEN RD,159090,63000,2.5252,Residential,Single Family
220826,2022,03/20/2023,Bridgeport,2625 PARK AVE UNIT #10N,95450,225000,0.4242,Residential,Condo
221605,2022,01/13/2023,Manchester,42 RICHMOND DRIVE,217900,360000,0.6052,Residential,Single Family
220123,2022,11/21/2022,Hartford,50 WESTBOURNE PKWY,99520,360000,0.2764,Residential,Three Family
220190,2022,01/27/2023,Groton,31 RALEIGH CT,98420,129900,0.7577,Residential,Single Family
22067,2022,07/31/2023,Bethany,108 CRESTWOOD RD,197730,570000,0.3468,Residential,Single Family
22118,2022,02-02-2023,North Haven,50 DEVINE ST,1487310,5100000,0.2916,Commercial,
220475,2022,03/21/2023,Hartford,838 CAPITOL AVE,104921,293000,0.358,Residential,Three Family
220924,2022,08/24/2023,Hamden,173 TOWNE HOUSE RD U173,43750,115000,0.3804,Residential,Condo
220586,2022,05-01-2023,Milford,0 EDGEWATER PL,76310,290000,0.2631,Vacant Land,
220017,2022,10/17/2022,Griswold,89 MONROE AV,169540,330000,0.5137,Residential,Single Family
2200226,2022,02-08-2023,East Hartford,208 WESTERLY TER,143970,225000,0.6398,Residential,Single Family
220213,2022,12/21/2022,Hamden,585 MAIN ST,195930,331000,0.5919,Residential,Single Family
220194,2022,12-08-2022,Hartford,287 & 300 HOMESTEAD AVE,1158500,1700000,0.6814,Industrial,
22188,2022,06/13/2023,Derby,5 GRANDVIEW BLVD,159110,200000,0.7955,Residential,Single Family
220219,2022,08-08-2023,Colchester,24 HARVEST LN,238200,485000,0.4911,Residential,Single Family
22019,2022,11/15/2022,Haddam,33 OAK TERR,337780,725000,0.4659,Residential,Single Family
220035,2022,10/27/2022,New London,119 ASHCRAFT RD,147910,334000,0.4428,Residential,Single Family
220891,2022,08/14/2023,Meriden,201 SO BROAD ST,113120,200000,0.5656,Commercial,
220166,2022,03/31/2023,East Lyme,21 ROMAGNA RD,240310,8000,30.0388,Vacant Land,
220590,2022,06-01-2023,New Haven,51 NASH ST,438060,945000,0.4635,Residential,Four Family
220279,2022,07/31/2023,Madison,1467 DURHAM RD,200300,310000,0.6461,Residential,Single Family
220170,2022,09/25/2023,Mansfield,56 THORNBUSH RD,73400,110000,0.6673,Residential,Single Family
220170,2022,12-07-2022,Meriden,147 ORCHARD ST,127260,239000,0.5324,Residential,Single Family
220291,2022,08/28/2023,Griswold,97 NORTH MAIN ST,29260,25000,1.1704,Vacant Land,
222079,2022,06/23/2023,Bridgeport,603B WILMOT AVE,1680000,45000,37.3333,Commercial,
220170,2022,05-02-2023,Ledyard,1898 CENTER GROTON RD,320740,540000,0.5939,Residential,Single Family
220120,2022,03/24/2023,Colchester,484 NEW LONDON RD,33200,45000,0.7377,Vacant Land,
220367,2022,02/24/2023,Hamden,65 FOREST ST,130760,140000,0.934,Residential,Single Family
22069,2022,11/23/2022,Montville,159 MAPLE AVE,93940,125000,0.7515,Residential,Single Family
22000140,2022,02-02-2023,Cheshire,855 ALLEN AVE,195970,430000,0.4557,Residential,Single Family
222454,2022,09/19/2023,Bridgeport,748 CAPITOL AVE,146565,360000,0.4071,Residential,Single Family
220088,2022,05/16/2023,Essex,147 MAIN ST IVTN,137200,225000,0.6097,Residential,Single Family
22050,2022,11/14/2022,Montville,314 ROUTE 163,14000,35000,0.4,Vacant Land,
220260,2022,04-04-2023,Groton,527 NEW LONDON RD,225120,345000,0.6525,Residential,Single Family
22170,2022,03/21/2023,Montville,29 LAUREL POINT DR,143360,112500,1.2743,Residential,Single Family
221103,2022,06-06-2023,Fairfield,120 SURREY LANE,429450,30000,14.315,Residential,Single Family
220035,2022,12-05-2022,Canton,8 OLSON ROAD,700,180000,0.0038,Vacant Land,
220458,2022,06/15/2023,Enfield,6 FILMORE DR,166200,255000,0.6517,Residential,Single Family
220454,2022,08-04-2023,Groton,18 JOHL DR,213780,449000,0.4761,Residential,Single Family
2200177,2022,05-09-2023,Bloomfield,16 DARBY ST,101150,155000,0.6526,Residential,Single Family
